State,FY,Actual_Tax_Revenue,Total_State_Support,Education_ Appropriations,General_Public_Operations,Total_ Financial_Aid,Net_Tuition_and_Fee_Revenue,Net_ FTE_Enrollment,State_Public_Financial_Aid
Alabama,2021,21396580000,1774630935,1358644376,1300857122,68547606,2556467009,194930,57787254
Alaska,2021,3075412000,319473162,291560183,261313966,18275195,85245867,13739,13414016
Arizona,2021,33710290000,1096327500,1831059200,1675330300,30390000,2564729800,292192,26128900
Arkansas,2021,14706510000,1020938332,810551303,690458133,128461772,650333862,105002,107093170
California,2021,3.61E+11,16484402102,18846994572,16734751282,2276936820,5448046295,1502627,2058268290
Colorado,2021,37214630000,1158059511,1175819686,425103946,215640219,2053069813,179676,204223600
Connecticut,2021,34146580000,1415270402,1071747520,1035152975,33348502,931012166,73489,27712863
Delaware,2021,6748955000,306652829,296272848,235342100,16279299,700687518,36409,15687200
Florida,2021,95627760000,5668824203,4972731396,4067125943,1092456186,1370528781,595404,880736719
Georgia,2021,49383700000,3678960573,3208418812,2418466551,842625353,1623983258,356921,760396476
Hawaii,2021,11224550000,812469266,704758300,686364954,7380184,221448910,34151,5932719
Idaho,2021,8726466000,598142727,571027929,487758300,21303392,411545178,53699,17921894
Illinois,2021,93249730000,4948710959,5410658223,5094958973,447842857,2295967558,284130,260918081
Indiana,2021,36528020000,1792582538,1432042892,1158336512,356054440,2334674212,237621,261683795
Iowa,2021,18954710000,853241873,723159451,691123037,74951620,1175133173,118606,24675064
Kansas,2021,17463030000,949085014,1017559746,897391977,30200047,861545342,123169,14772874
Kentucky,2021,21065840000,1215213026,990911608,752395100,277653700,1152515091,137518,189508700
Louisiana,2021,22372810000,1239581426,932312264,508507553,351110124,839100061,163735,323763228
Maine,2021,9352608000,329638334,288753113,261054959,21822445,247349171,32864,18394710
Maryland,2021,44717130000,2275833255,2337361954,2195101986,100658025,1980532496,217333,81363744
Massachusetts,2021,56664100000,1834628351,1730635750,1626883871,125443104,1016592668,145913,87209828
Michigan,2021,49991560000,2147566600,2567599815,2484583158,73256800,4558983613,343478,59016657
Minnesota,2021,42590020000,2223068982,1942297706,1296576536,200962705,1640557998,171312,127175119
Mississippi,2021,13099550000,1084650288,858323996,658550976,45224182,840738661,125260,40506285
Missouri,2021,28612830000,1186702299,1334955246,1077766139,131227244,1005388233,156493,107753764
Montana,2021,5645058000,304438253,272616404,232778911,2671274,247746023,33459,2671274
Nebraska,2021,12475150000,825891607,791928293,764777849,24615788,499473676,72564,19453913
Nevada,2021,16064250000,655319073,569478108,464676219,104801889,225260204,75873,104801889
New Hampshire,2021,7504329000,190136283,175732358,130346945,5614000,375677684,32348,5168500
New Jersey,2021,76971980000,2183165743,1941167874,1564485000,481736000,2115923929,254877,353191000
New Mexico,2021,10954820000,968849542,1007833318,922492190,85917532,326031956,65855,81548763
New York,2021,2.05E+11,5736403989,6244972775,5616037239,841757536,2925253729,494691,628935536
North Carolina,2021,51658170000,4383144042,3855462919,3626969186,257073084,1771604290,392374,142265498
North Dakota,2021,5454803000,383582044,289394311,268412310,20572909,334910751,31900,17200755
Ohio,2021,62851510000,2685042555,2507169585,2176189724,154767285,3207302389,374222,103025851
Oklahoma,2021,17822590000,895041308,799266053,708581222,102241680,938439388,123954,90684831
Oregon,2021,27603700000,1025636301,1057250868,961414835,92332696,1291692624,128349,85836033
Pennsylvania,2021,81390350000,2023765606,1863142793,1494144536,369382000,3542379396,313004,185730257
Rhode Island,2021,7116724000,229080398,227580398,184108164,16719956,342385143,30487,15219956
South Carolina,2021,22919360000,1404547263,1211671408,696322714,454902907,1700097793,164276,348863721
South Dakota,2021,4171522000,271797232,223108991,209763037,8443727,257060248,31957,6318116
Tennessee,2021,29678470000,2332342295,1856742758,1375198854,596774299,1032090951,178576,477284054
Texas,2021,1.44E+11,9381177496,9696636529,8945472199,584292098,7446388987,1021757,494986951
Utah,2021,18872760000,1225747903,1118883428,1081527395,35667480,779457526,129312,29930605
Vermont,2021,4870446000,191045585,161283540,84497038,19300438,339679370,19509,9073070
Virginia,2021,53564770000,2494673344,2173062054,1869841694,353058663,2653988653,298864,281220360
Washington,2021,51574330000,2537098263,2367419901,1867790638,505439000,1255405542,214902,437860000
West Virginia,2021,8386049000,528096960,377820786,296566352,88541337,455616665,62038,81254434
Wisconsin,2021,33548630000,1707697163,1741396675,1564194633,144668659,1397219763,198362,113824679
Wyoming,2021,3015682000,505037144,504922707,349241467,34107081,62879908,20947,34107081
U.S.,2021,2.09E+12,1.01E+11,99742102723,86177086700,12373451139,74090143322,10460128,9922502077
D.C.,2021,8809136000,158755174,140617169,94629270,2902354,19754199,2711,2902354
Alabama,2020,19234660000,1854684792,1439972414,1282961796,78959791,2561414178,200991,69234994
Alaska,2020,3351222000,328757268,295529002,280313794,17837898,89891277,15051,13515208
Arizona,2020,29759930000,1040140200,1766130300,1703001400,30390000,2592036400,304281,26128900
Arkansas,2020,13087700000,1020891230,808767361,704812268,125162724,676322144,111155,103955093
California,2020,2.78E+11,15760808581,17832520719,16272181359,1708456580,6246725604,1590119,1560339360
Colorado,2020,32621450000,1111926347,1032900415,823502575,220003709,2119482669,188864,209397840
Connecticut,2020,30277980000,1267004898,956250860,927735399,34305444,1140292765,81422,28515461
Delaware,2020,5813486000,274382482,264173185,230899700,16191165,753348786,35571,15675200
Florida,2020,87490770000,5503788819,4834933590,3988040080,1056661927,1441492918,609447,846893510
Georgia,2020,43888110000,3847028885,3353328160,2630218395,805639277,1683910984,360193,723109765
Hawaii,2020,10885500000,771894671,666028400,656099400,6958269,222648063,34736,5529000
Idaho,2020,7529304000,528187156,499654187,480356400,22021956,398865569,55155,19297787
Illinois,2020,82360210000,4564727839,4995348558,4734679544,450346405,2285535481,302722,260669014
Indiana,2020,31933030000,1849926952,1483456131,1223366615,355545547,2336566520,245224,260089516
Iowa,2020,17345540000,851804674,719559495,694895033,74619620,1208997051,125433,24664462
Kansas,2020,15305730000,853854267,903674582,888778586,30180047,884197002,129622,14895996
Kentucky,2020,19479260000,1178218600,950294500,758322900,277583800,1185780270,140429,191971600
Louisiana,2020,20759050000,1229447424,923861850,599881274,335561648,803957498,165145,308274943
Maine,2020,8641288000,319325863,278722119,261158940,20790114,251328219,34005,17563179
Maryland,2020,42042760000,2230388717,2306717692,2178566526,107865704,2011315407,221418,87442649
Massachusetts,2020,51017520000,1740971323,1641666364,1568977185,109098138,1104231854,157447,72689179
Michigan,2020,42820340000,1972087600,2389020888,2184025949,11256800,4724835519,357224,4994939
