fips,state,state_abbrev,fy,TotalStateSupport,TotalFinancialAid,GeneralPublicOperations,NetTuitionandFeeRevenue,NetFTEEnrollment
1,Alabama,AL,2001,1088445747,20435165,788859926,592027659,165833
1,Alabama,AL,2002,1115999450,20161655,801923341,610690910,173687
1,Alabama,AL,2003,1162194091,21193624,838235969,687549198,180654
1,Alabama,AL,2004,1167536776,19460984,841675393,805323633,183167
1,Alabama,AL,2005,1214819772,20375209,863875150,889016616,180517
1,Alabama,AL,2006,1407875152,22871385,996616290,928215874,180985
1,Alabama,AL,2007,1685067489,38468406,1176438275,980855685,182504
1,Alabama,AL,2008,1961808342,38124653,1382815126,996582749,187086
1,Alabama,AL,2009,1581208946,36945106,1103535043,1125309401,199153
1,Alabama,AL,2010,1542585887,40550610,980561264,1418531919,210067
1,Alabama,AL,2011,1543660595,47381091,973347229,1575807814,212758
1,Alabama,AL,2012,1494583181,51417964,1021375371,1722616281,206364
1,Alabama,AL,2013,1406898493,52207814,948799296,1819984319,197110
1,Alabama,AL,2014,1444764352,61472831,950958047,1898356149,194439
1,Alabama,AL,2015,1468403494,63383773,977807606,2016926705,193411
1,Alabama,AL,2016,1495278016,68099331,991773387,2204984045,195536
1,Alabama,AL,2017,1567340609,89037375,1061021253,2315601640,198619
1,Alabama,AL,2018,1591575021,111580758,1082045982,2494598844,202506
1,Alabama,AL,2019,1631237756,84987627,1192434142,2478097494,202773
1,Alabama,AL,2020,1854684792,78959791,1282961796,2561414178,200991
1,Alabama,AL,2021,1774630935,68547606,1300857122,2556467009,194930
1,Alabama,AL,2022,1988189302,64579453,1501605320,2597825745,191445
1,Alabama,AL,2023,3051174272,65963916,2511544887,2666983753,197404
1,Alabama,AL,2024,2580519542,70383912,2076902315,2800234896,200949
4,Arizona,AZ,2001,898839000,6765400,1079835700,508361000,194629
4,Arizona,AZ,2002,940735189,6866500,1167391389,516495600,201660
4,Arizona,AZ,2003,924384710,6665200,1179203910,535517900,215146
4,Arizona,AZ,2004,932131463,6510600,1222629263,642394000,221824
4,Arizona,AZ,2005,998449968,6510600,1291715968,717103100,226420
4,Arizona,AZ,2006,1087144898,9506000,1420595898,798347600,227283
