id,female,black,hispanic,asian,age_ba,firstgen,parent_income_q,parent_grad,ugpa,stem_major,bus_major,ed_major,health_major,selective_inst,public_ug,state_unemp,metro,ga_funding_adj,grad_plus_loans,annual_tuition,program_years,gross_tuition,net_inst_rev,masters,ln_salary,salary
1,1,0,0,0,22,0,2,0,2.98,1,0,0,0,1,0,4.6999998,0,5.6999998,124.57043,46.133621,2.5,115.33405,74.967133,1,11.890626,145892.59
2,1,1,0,0,28,0,3,0,2.5899999,0,0,1,0,0,1,4.1999998,1,7.6999998,44.366356,26.195431,2,52.390862,34.054062,0,10.845979,51327.336
3,0,0,0,0,25,0,2,0,4,0,0,0,0,0,1,5,1,9,48.816154,26.369488,2,52.738976,34.280334,0,10.469716,35232.211
4,0,0,0,0,25,1,3,0,3.3800001,0,0,0,0,1,1,4,0,9.8999996,24.707674,27.661163,2,55.322327,35.959511,1,11.225506,75019.688
5,0,0,0,0,25,0,1,1,3.3900001,0,0,0,0,0,1,5.5,1,5.9000001,76.883331,21.541399,2,43.082798,28.003819,0,11.348869,84869.438
6,1,0,0,0,21,0,4,0,3.0699999,0,0,0,0,0,1,5.3000002,1,7.1999998,33.085594,19.619534,2,39.239067,25.505394,1,10.037394,22865.707
7,1,0,0,0,30,0,4,0,3.78,0,0,0,0,0,1,4.1999998,1,9.1000004,14.52779,20.845737,2,41.691475,27.099459,1,12.193704,197541.44
8,0,0,0,0,25,0,1,0,4,0,0,0,0,1,1,4.3000002,0,7.3000002,80.758858,37.8498,2,75.6996,49.204739,0,11.080865,64917.008
9,0,0,0,0,21,0,2,1,2.8099999,0,0,1,0,0,1,4.5,1,7.1999998,59.333328,24.503958,2,49.007915,31.855145,0,10.324853,30480.82
10,1,0,0,0,22,1,4,0,3.3199999,1,0,0,0,0,0,5.5,1,9.6000004,31.286081,30.686823,2.5,76.717056,49.866085,1,10.20655,27079.971
11,0,0,0,0,30,0,3,0,3.29,0,0,0,0,0,1,5.5999999,0,9.8000002,29.398788,26.898098,2,53.796196,34.967529,0,11.58153,107101.22
12,1,0,0,0,22,1,2,0,2.8299999,0,0,1,0,1,0,6.1999998,0,9.1000004,91.355492,41.356728,2,82.713455,53.763744,1,9.4151087,12272.407
13,1,0,0,0,23,0,3,1,3.1400001,0,0,0,0,0,1,4.5,1,7.5,24.676489,20.135817,2,40.271633,26.176561,0,11.276736,78963.125
14,1,0,0,1,25,0,4,1,2.6500001,0,1,0,0,0,1,6.1999998,1,12.1,37.300446,58.480064,2,116.96013,76.024086,1,10.779016,48002.891
15,1,0,0,0,22,0,3,1,2.71,0,0,1,0,0,1,6.9000001,0,6.5999999,65.20462,23.446316,2,46.892632,30.480211,0,10.326819,30540.82
16,1,0,0,0,29,0,4,1,2.5599999,0,1,0,0,1,1,5.3000002,1,10.3,101.54865,73.794029,2,147.58806,95.932236,1,12.136204,186503.22
17,1,0,0,0,21,1,4,1,3.1600001,1,0,0,0,0,0,3.5,1,6.4000001,47.657089,30.915489,2.5,77.288727,50.237671,0,10.636809,41639.703
18,0,0,0,0,25,0,4,1,3.21,0,1,0,0,0,1,4.8000002,0,11.3,64.864197,63.408688,2,126.81738,82.431297,0,11.652667,114997.66
19,1,0,1,0,23,1,3,0,3.8900001,0,0,1,0,1,1,6.5,1,4.5999999,103.57682,32.489689,2,64.979378,42.236595,0,11.343897,84448.477
20,1,0,0,0,24,0,2,0,3.3199999,0,0,1,0,0,1,4.3000002,1,9.8000002,92.258942,22.337847,2,44.675694,29.0392,0,11.554616,104257.18
21,0,1,0,0,21,0,4,0,3.8499999,1,0,0,0,0,0,5.9000001,1,6.0999999,73.725235,38.764656,2.5,96.911636,62.992565,1,12.068266,174253.41
22,0,0,0,0,21,0,3,0,3.26,0,0,1,0,0,1,4.3000002,1,7.5999999,41.961983,23.585581,2,47.171162,30.661255,1,10.259901,28563.959
23,1,1,0,0,24,1,4,1,3.1099999,0,0,0,1,0,1,5.0999999,1,9.8000002,6.4623833,44.390446,2,88.780891,57.707581,0,10.711984,44890.598
24,1,0,0,0,21,0,3,1,3.22,0,0,0,1,0,1,7.8000002,0,9.8000002,53.433918,49.994442,2,99.988884,64.992775,1,11.499222,98638.977
25,1,0,0,0,27,0,3,1,3.0699999,0,1,0,0,0,1,7.6999998,1,7,103.19186,59.148041,2,118.29608,76.892456,0,10.917685,55142.969
26,0,0,0,0,21,0,4,0,3.46,0,1,0,0,0,1,5.6999998,0,7.4000001,51.19651,62.008633,2,124.01727,80.611221,1,8.2916012,3990.2183
27,0,0,0,0,23,0,1,0,3.0599999,1,0,0,0,0,1,6.1999998,0,4.9000001,69.78022,30.786316,2.5,76.96579,50.027763,1,12.53482,277845.25
28,0,1,0,1,23,0,4,0,2.9100001,0,0,1,0,1,1,4,1,4.3000002,61.907574,36.137604,2,72.275208,46.978886,0,11.635872,113082.38
29,0,0,0,0,25,0,1,0,3.0999999,0,0,0,0,0,1,2.7,1,8.3000002,51.157501,18.190889,2,36.381779,23.648155,1,9.8880577,19693.771
30,1,0,0,0,22,1,2,0,4,0,1,0,0,0,1,5.8000002,1,8.1999998,86.737274,49.687737,2,99.375473,64.594055,0,11.956236,155785.58
31,0,0,0,0,25,1,4,0,2.74,0,0,0,0,0,1,5.3000002,1,5.4000001,7.7405925,27.5972,2,55.194401,35.876362,0,10.506602,36556.063
32,0,0,0,0,29,0,4,1,4,1,0,0,0,0,1,7.0999999,1,5.5999999,73.470016,35.725903,2.5,89.314758,58.054592,1,11.879118,144223.28
33,0,0,0,0,29,1,3,0,4,0,0,0,1,0,1,6.3000002,0,6.0999999,78.816391,38.788345,2,77.576691,50.42485,0,10.12312,24912.385
34,0,0,0,0,24,1,4,1,3.48,0,1,0,0,1,1,5.5,1,5.1999998,71.590286,72.86882,2,145.73764,94.729469,0,10.459554,34875.984
35,0,0,0,0,26,0,1,0,2.6800001,0,0,0,0,1,1,6.4000001,1,8,82.892685,34.399471,2,68.798943,44.719315,0,10.347436,31177
36,0,0,0,0,21,0,3,0,3.9400001,0,0,0,1,0,0,6,1,4.1999998,51.2654,41.631531,2,83.263062,54.120991,0,11.617983,111077.44
37,1,0,0,0,22,0,4,1,3.29,0,1,0,0,0,1,5.3000002,0,7.6999998,52.998581,52.159367,2,104.31873,67.807175,1,11.886334,145267.83
38,1,0,0,0,28,0,4,0,3.1099999,0,0,0,0,0,1,3,1,8.8999996,11.741081,22.187504,2,44.375008,28.843756,0,9.9085512,20101.529
39,1,0,0,0,25,0,4,0,3.6199999,0,0,0,0,0,1,4.8000002,1,5.3000002,55.945362,29.477022,2,58.954044,38.320129,1,12.509772,270972.41
40,1,0,0,0,21,0,3,0,3.6600001,0,0,0,0,1,1,5.4000001,1,6.0999999,49.204556,36.484665,2,72.96933,47.430065,0,10.974034,58339.48
41,1,0,0,0,24,0,1,0,3.3099999,0,0,0,0,0,1,6,1,10.3,62.37899,16.503183,2,33.006367,21.454138,1,12.219296,202662.33
42,0,1,0,0,21,0,2,1,2.73,0,1,0,0,0,1,4.5999999,0,9.6000004,70.349075,63.702869,2,127.40574,82.813728,0,10.287206,29354.635
43,0,0,0,1,21,0,1,0,3.45,1,0,0,0,0,1,5.3000002,1,7,102.65958,25.194496,2.5,62.98624,40.941055,0,12.961478,425694.94
44,0,0,0,0,25,0,2,1,4,1,0,0,0,1,0,5.8000002,1,6.9000001,87.340691,51.236504,2.5,128.09126,83.259323,0,11.655257,115295.91
45,0,0,0,0,25,0,2,1,2.99,0,0,0,1,1,0,3.4000001,0,7.5,40.585903,55.198135,2,110.39627,71.757576,0,11.024218,61341.852
46,1,0,0,0,21,0,2,1,2.5899999,0,0,0,0,0,1,5.5999999,0,6.9000001,56.142799,18.007877,2,36.015755,23.41024,0,10.71044,44821.34
47,1,0,0,0,25,1,1,1,3.72,0,0,0,0,0,1,5.0999999,1,9.3000002,71.684135,14.289679,2,28.579357,18.576582,0,10.531273,37469.137
48,1,0,0,0,21,0,1,1,3.6300001,0,0,0,0,0,1,6.0999999,1,6.0999999,42.883869,22.214428,2,44.428856,28.878756,1,9.9865074,21731.268
49,0,0,0,0,30,0,2,0,3.1400001,0,0,0,1,0,1,5.8000002,1,8.1999998,76.974762,41.651638,2,83.303276,54.147129,1,12.160728,191133.52
50,0,1,0,0,24,0,3,1,3.78,1,0,0,0,1,1,4.3000002,1,8.1999998,88.554634,46.923435,2.5,117.30859,76.25058,0,11.335402,83734.18
51,1,0,0,0,21,1,3,0,3.29,1,0,0,0,1,1,5.6999998,1,10.2,115.72025,42.568745,2.5,106.42186,69.17421,1,10.641231,41824.207
52,1,0,0,0,25,0,2,1,2.73,1,0,0,0,0,1,4.8000002,0,4.5999999,75.928574,27.096184,2.5,67.740463,44.0313,1,12.446722,254414.98
53,1,0,0,0,28,0,2,0,3.47,0,0,0,1,1,1,3.8,1,5.5,84.769707,56.605011,2,113.21002,73.586517,0,11.168134,70836.789
54,0,0,0,0,29,0,1,0,3.53,0,0,1,0,0,0,4,1,8.1000004,78.099861,22.054506,2,44.109013,28.670858,1,12.060984,172989.06
55,1,0,0,0,21,0,4,0,3.48,1,0,0,0,1,1,7.4000001,1,9.1000004,72.46801,45.144054,2.5,112.86014,73.359093,1,11.666832,116638.18
56,1,0,1,0,25,0,1,1,3.1300001,0,0,0,0,1,1,6,1,7,69.239769,37.805515,2,75.611031,49.147171,0,10.814203,49722.023
57,1,0,1,0,24,0,2,1,2.2,1,0,0,0,1,1,5.1999998,1,8.5,93.688385,48.709892,2.5,121.77473,79.15358,1,11.147941,69420.719
58,0,0,0,0,21,0,3,0,3.8099999,0,0,0,0,1,1,5.5999999,0,5.0999999,42.550247,31.439119,2,62.878239,40.870853,0,10.346861,31159.078
59,0,1,1,0,26,0,2,0,3.6099999,0,0,0,0,0,1,5.5999999,1,11,50.239719,21.736729,2,43.473457,28.257748,0,9.8258047,18505.156
60,1,0,0,0,28,0,1,0,3.9200001,0,0,0,0,0,1,7.3000002,1,11.9,74.332657,17.989939,2,35.979877,23.386921,1,11.259809,77637.711
61,1,0,1,0,24,0,2,1,3.78,0,1,0,0,1,1,4.5999999,1,10.9,105.25304,69.208801,2,138.4176,89.971443,1,11.958017,156063.36
62,0,0,0,0,21,0,2,0,4,0,0,0,0,1,1,5.5,1,7.4000001,60.592384,38.364288,2,76.728577,49.873573,1,11.852909,140492.45
63,1,0,0,0,28,0,1,1,3.1900001,0,0,0,0,0,1,7.8000002,0,9.3000002,36.075569,22.401772,2,44.803543,29.122303,0,11.081482,64957.074
64,1,0,0,0,25,0,2,0,3.3599999,0,1,0,0,1,0,5.0999999,0,6.3000002,116.65331,71.910545,2,143.82109,93.483711,0,11.865174,142226.23
65,0,0,0,0,24,0,1,0,4,0,0,0,0,1,1,8.5,1,12.5,59.382469,43.29855,2,86.597099,56.288116,0,11.771464,129503.65
66,0,0,0,0,24,0,4,0,3.79,0,0,0,1,1,1,5.1999998,1,5.3000002,65.367325,54.962437,2,109.92487,71.451164,1,12.54791,281506.19
67,1,1,0,0,23,0,3,1,3.1600001,0,0,0,0,0,1,4,1,8,32.581852,21.06653,2,42.13306,27.38649,1,13.091271,484693.22
68,1,0,0,0,22,1,4,1,3.3399999,0,0,0,0,0,1,5.9000001,1,6.5999999,50.615189,21.707539,2,43.415077,28.219801,0,9.7063351,16421.309
69,0,1,0,0,22,0,1,0,3.24,0,0,0,1,0,1,5.8000002,1,6.4000001,67.701447,44.525921,2,89.051842,57.883698,0,8.8455868,6943.6772
70,0,0,0,0,28,0,4,0,3.3399999,0,0,1,0,1,1,4.0999999,1,6.3000002,24.831017,36.771049,2,73.542099,47.802364,0,9.6803312,15999.796
71,1,0,0,0,23,1,2,0,2.8199999,1,0,0,0,0,0,4.5,0,9.1000004,39.773972,33.254833,2.5,83.137085,54.039104,1,12.420918,247934.16
72,0,0,1,0,25,0,2,0,3.1099999,0,0,0,0,0,0,4.5,0,5.9000001,1.7592251,18.602272,2,37.204544,24.182953,0,10.611307,40591.223
73,0,0,0,0,23,0,4,0,4,0,0,1,0,0,1,4.5999999,0,11.3,14.719663,23.32217,2,46.644341,30.318821,1,12.213098,201409.94
74,0,1,0,0,27,0,2,0,2.8099999,1,0,0,0,0,0,3.5999999,1,6.5999999,101.42956,33.438007,2.5,83.595016,54.336761,0,11.380185,87569.242
75,0,0,0,0,28,1,4,0,3.2,1,0,0,0,0,0,5.0999999,0,9.1999998,67.107628,38.234238,2.5,95.585594,62.130638,1,12.571015,288086.31
76,1,0,0,0,28,1,2,1,3.3900001,0,0,0,0,1,1,6.6999998,0,8.5,94.252205,35.502941,2,71.005882,46.153824,1,11.395977,88963.109
77,0,0,0,0,27,0,1,1,3.0599999,1,0,0,0,0,1,6.5,1,10,76.296669,37.156937,2.5,92.892342,60.38002,1,12.101486,180139.39
78,0,0,0,0,27,0,3,0,3.5899999,0,0,0,1,0,1,5.3000002,1,5.3000002,68.673622,38.135468,2,76.270935,49.576107,0,9.6113787,14933.744
79,1,0,0,0,28,0,3,0,2.72,0,0,1,0,0,1,5.3000002,1,6.4000001,69.189056,20.828186,2,41.656372,27.076641,0,10.618107,40868.172
80,1,0,0,0,25,0,1,0,4,0,1,0,0,1,1,4.4000001,1,8.1999998,88.871094,68.478477,2,136.95695,89.022018,0,10.064184,23486.574
81,1,0,0,1,24,0,1,0,3.8099999,0,0,0,0,0,1,5.6999998,1,5.0999999,77.901726,17.404114,2,34.808228,22.625347,0,10.843361,51193.145
82,0,0,0,0,23,0,3,1,3.1900001,0,0,0,1,0,0,3.5999999,1,6.8000002,95.439812,39.66724,2,79.33448,51.567413,0,11.172045,71114.375
83,1,0,0,0,32,0,2,0,3.3900001,0,0,0,1,1,1,5.1999998,1,8.6000004,116.05946,49.539345,2,99.07869,64.401146,0,10.56263,38662.664
84,0,0,0,0,21,0,2,1,3.1500001,0,1,0,0,0,1,5.6999998,1,7.8000002,67.226891,52.173183,2,104.34637,67.825142,0,11.143178,69090.875
85,1,0,0,0,24,0,4,1,2.96,0,0,1,0,1,1,4.8000002,0,8.3000002,57.639168,36.33036,2,72.660721,47.229469,1,8.5090303,4959.3521
86,1,0,0,0,26,1,2,0,3.5899999,0,0,0,0,1,0,4.5,1,7.0999999,49.35099,38.445671,2,76.891342,49.979374,1,11.179153,71621.703
87,1,0,0,0,25,0,4,0,4,1,0,0,0,0,1,6.3000002,0,8.6999998,53.960934,27.221775,2.5,68.054436,44.235382,1,12.419222,247513.86
88,0,0,0,0,24,1,4,1,3.4000001,0,0,1,0,0,1,4.8000002,1,9.5,6.3299718,21.936041,2,43.872082,28.516853,1,10.676964,43345.746
89,1,0,0,0,23,0,2,1,2.98,0,1,0,0,0,1,4.9000001,0,8.6000004,93.295609,49.696648,2,99.393295,64.605644,1,11.073252,64424.656
90,0,0,0,0,22,1,3,0,3.5,0,0,0,1,0,1,5.0999999,1,6.5,15.450933,35.152134,2,70.304268,45.697773,0,10.647819,42100.656
91,1,0,0,0,22,0,4,0,3.3399999,0,0,0,0,0,1,6.0999999,0,6.5999999,23.292686,19.064762,2,38.129524,24.784191,0,10.039833,22921.557
92,0,0,1,0,29,0,3,1,2.98,0,0,0,1,0,0,3.9000001,1,3.3,61.993252,42.150051,2,84.300102,54.795067,0,11.617175,110987.75
93,1,0,0,0,21,0,4,1,3.48,0,0,0,0,0,1,4.8000002,0,5.6999998,0,25.083731,2,50.167461,32.608849,1,12.28827,217134.02
94,1,0,0,0,23,0,3,0,3.46,0,0,0,1,0,1,5.6999998,1,5.9000001,92.588493,36.95237,2,73.904739,48.038082,1,10.60075,40164.949
95,0,0,1,0,21,1,3,0,3.51,0,1,0,0,0,0,7.4000001,0,9.6999998,46.669785,59.758965,2,119.51793,77.686653,1,12.443382,253566.72
96,1,0,0,0,21,0,4,0,3.4100001,1,0,0,0,1,1,4.0999999,1,6.4000001,67.997528,43.757965,2.5,109.39491,71.106689,1,11.933082,152219.92
97,0,0,0,0,22,0,3,0,3.6700001,0,0,0,0,0,0,3,1,8.1000004,47.595989,26.274343,2,52.548687,34.156647,0,11.435219,92523.578
98,1,0,0,0,21,1,3,1,3.1099999,0,0,0,0,1,0,6.5,1,3.3,32.160107,40.007885,2,80.01577,52.01025,0,11.227635,75179.617
99,0,1,1,0,21,0,1,1,2.5799999,0,0,0,0,0,1,5.0999999,1,6.9000001,45.90638,16.733679,2,33.467358,21.753782,0,10.106838,24510.043
100,0,0,0,0,28,0,1,0,3.02,0,0,0,0,1,1,3.0999999,1,14,70.042046,34.37928,2,68.75856,44.693066,1,10.692123,44007.855
101,0,0,0,0,27,0,3,0,3.5599999,0,0,0,0,1,1,7,0,6.6999998,55.838543,32.874134,2,65.748268,42.736374,0,11.778049,130359.14
102,1,0,0,0,27,0,4,1,3.04,1,0,0,0,0,1,3.3,1,5.3000002,61.213017,30.274321,2.5,75.685799,49.19577,1,12.379164,237794.88
103,1,0,0,0,22,0,4,1,3.74,0,0,1,0,0,1,5.1999998,1,8.3999996,75.015862,26.107996,2,52.215992,33.940395,1,12.089831,178052.08
104,1,0,0,0,21,0,4,0,2.03,0,1,0,0,0,1,5.5999999,0,8.6999998,44.086437,58.224243,2,116.44849,75.691513,0,11.535012,102233.25
105,0,1,0,0,29,1,4,0,3.29,0,0,0,0,1,1,5.5999999,1,8.3000002,51.403095,31.454935,2,62.90987,40.891415,0,10.313125,30125.422
106,1,0,0,0,27,1,2,1,2.52,0,0,0,1,0,1,7,0,9.3999996,62.144417,38.456646,2,76.913292,49.993641,0,10.162791,25920.547
107,0,0,0,0,22,0,4,1,3.6199999,0,1,0,0,0,1,7.1999998,1,3.8,70.141556,55.821236,2,111.64247,72.567604,0,10.50714,36575.73
108,1,1,0,0,22,0,3,0,3.5799999,1,0,0,0,0,1,5.5999999,1,7.1999998,41.227703,35.292965,2.5,88.232414,57.35107,0,11.156884,70044.375
109,1,0,0,0,27,0,1,1,3.1700001,1,0,0,0,0,1,6.5,0,5.1999998,81.011803,38.67984,2.5,96.6996,62.85474,0,11.36307,86083.281
110,0,0,0,0,24,0,2,0,2.8199999,0,0,0,1,0,1,3.2,1,12.8,101.03839,39.769943,2,79.539886,51.700928,1,7.9515123,2839.8665
111,0,0,0,0,21,0,1,0,3.73,0,0,0,0,0,1,4.6999998,1,9.1999998,50.628716,11.301696,2,22.603392,14.692204,1,11.747545,126442.79
112,0,0,1,0,23,0,2,1,4,0,0,0,0,0,0,7.3000002,1,11.6,42.501137,25.001986,2,50.003971,32.502583,1,12.33919,228476.92
113,1,0,1,1,30,1,3,0,2.79,0,1,0,0,0,1,5.8000002,1,8.3999996,69.698784,62.703556,2,125.40711,81.514626,0,12.218955,202593.14
114,1,0,0,0,26,0,4,1,2.8299999,0,1,0,0,0,0,4.9000001,1,5,53.618172,51.469654,2,102.93931,66.910553,0,11.749948,126746.91
115,1,0,0,0,24,1,3,0,3.73,0,0,1,0,0,1,3.8,1,10.9,4.7018104,25.714352,2,51.428703,33.428658,1,12.303488,220463.58
116,0,0,0,0,24,0,3,0,3.29,1,0,0,0,1,1,4,1,11.8,33.113346,46.654686,2.5,116.63672,75.813866,0,11.524889,101203.54
117,0,0,0,0,22,0,1,1,3.1600001,0,1,0,0,0,0,4.0999999,1,7.6999998,85.847733,61.511688,2,123.02338,79.965195,0,11.243328,76368.695
118,0,0,0,0,21,0,4,0,3.5999999,1,0,0,0,0,1,5.1999998,1,5.9000001,85.541862,36.812443,2.5,92.031105,59.820217,0,11.140338,68894.938
119,0,0,0,0,26,1,4,0,3.75,0,0,0,1,0,1,4.9000001,1,11.7,52.142635,35.429874,2,70.859749,46.058838,0,11.232162,75520.656
120,0,0,0,0,23,1,2,1,3.1700001,0,0,0,1,1,1,6.3000002,1,8.3000002,115.39487,51.413673,2,102.82735,66.837776,0,9.9654169,21277.744
121,0,1,0,0,28,1,3,0,3.9000001,0,0,0,1,0,1,5,1,7.6999998,53.795387,40.677956,2,81.355911,52.881344,1,12.273889,214033.66
122,1,0,0,0,28,0,2,0,3.4100001,0,0,0,1,0,1,4,1,7,77.319672,39.40744,2,78.81488,51.229671,0,11.335997,83783.938
123,1,0,0,0,24,0,2,0,3.6600001,0,0,0,0,0,1,7.8000002,1,8.3999996,21.689642,23.108141,2,46.216282,30.040583,1,12.130767,185491.97
124,0,0,0,0,21,0,1,0,2.8299999,1,0,0,0,1,1,6,0,5.5,70.228783,53.808571,2.5,134.52142,87.438927,0,10.427188,33765.266
125,0,0,0,0,22,0,4,0,3.78,1,0,0,0,0,0,6.8000002,1,8.6000004,0,34.836704,2.5,87.091759,56.609642,1,12.744342,342607.88
126,0,0,0,0,21,0,3,0,3.5699999,0,0,0,1,0,1,5.5999999,0,4.6999998,40.542027,46.090847,2,92.181694,59.918102,1,13.084209,481282.38
127,0,0,0,0,21,0,1,0,2.9000001,0,1,0,0,0,1,5,1,7.3000002,146.81131,57.814999,2,115.63,75.1595,0,10.247778,28219.766
128,1,0,0,0,21,1,3,0,3.1099999,0,1,0,0,0,1,4.5999999,1,6.3000002,83.889503,56.930927,2,113.86185,74.010208,0,11.386335,88109.477
129,0,0,0,0,21,0,1,0,3.1900001,0,1,0,0,1,1,4.9000001,0,9.5,121.03585,65.214493,2,130.42899,84.778839,1,11.525595,101274.98
130,1,0,1,0,25,1,1,0,3.9200001,0,1,0,0,1,1,4.9000001,1,6.4000001,63.684414,67.274452,2,134.5489,87.456787,1,11.933512,152285.41
131,1,0,0,0,24,1,4,1,2.95,0,0,0,0,0,1,4.5999999,0,8.1999998,31.727289,26.212313,2,52.424625,34.076008,1,12.544458,280536.28
132,0,0,0,0,21,0,1,0,3.1300001,0,1,0,0,1,0,5.8000002,0,7.8000002,113.6673,73.879311,2,147.75862,96.043106,0,9.8501358,18960.93
133,1,0,0,0,21,1,3,0,3.75,0,0,0,1,1,1,5.8000002,1,9.1000004,45.059322,51.451862,2,102.90372,66.887421,0,11.106765,66620.313
134,1,0,0,0,25,1,4,0,3.52,0,0,0,0,0,1,3.7,1,10.7,24.614019,19.355684,2,38.711369,25.16239,0,9.5420074,13932.889
135,1,0,0,0,22,0,2,0,2.99,0,0,1,0,0,1,4.9000001,1,3.3,61.049961,28.492252,2,56.984505,37.039928,0,10.921794,55370.039
136,0,0,1,0,23,0,2,1,2.47,0,0,1,0,0,1,5.8000002,1,4.8000002,106.08687,21.86072,2,43.721439,28.418936,0,10.672339,43145.762
137,0,0,1,0,22,1,4,0,3.95,0,1,0,0,0,0,4,0,6.5999999,72.823296,57.059261,2,114.11852,74.17704,1,11.919042,150097.69
138,0,0,1,0,21,0,4,1,3.71,0,0,0,0,1,0,5.3000002,0,8.6999998,44.39444,44.649109,2,89.298218,58.043842,0,10.576777,39213.508
139,1,0,0,1,27,0,1,0,3.52,0,1,0,0,1,0,5.0999999,0,8.6000004,113.64754,69.365227,2,138.73045,90.174797,1,8.6537533,5731.6187
140,0,0,0,1,24,1,3,1,3.21,1,0,0,0,0,1,5.0999999,1,7.5999999,43.041752,29.426985,2.5,73.567459,47.818848,0,10.680756,43510.414
141,1,0,0,0,27,1,3,0,2.77,0,0,0,0,0,0,2.5,1,4.8000002,23.916639,26.896286,2,53.792572,34.965172,0,11.169316,70920.602
142,1,0,0,0,21,0,4,1,3.3800001,0,0,0,0,0,1,3.3,1,8,60.233818,24.356581,2,48.713161,31.663555,1,10.36466,31718.654
143,1,0,0,1,23,0,2,1,3.49,1,0,0,0,0,1,6.6999998,0,6.0999999,92.206718,25.061655,2.5,62.654137,40.725189,0,11.209136,73801.625
144,0,0,0,0,21,1,4,1,3.6199999,0,1,0,0,0,1,7.5999999,1,7.4000001,71.856766,52.221928,2,104.44386,67.888504,0,11.003909,60108.656
145,1,0,0,0,22,0,4,0,2.98,0,1,0,0,0,1,6.5999999,1,8.1999998,0,58.10537,2,116.21074,75.53698,1,9.3146849,11099.828
146,1,0,0,0,21,0,4,0,2.6600001,0,0,0,1,0,0,4.8000002,1,5.1999998,47.785976,55.139629,2,110.27926,71.681519,0,11.888974,145651.81
147,1,0,0,0,27,1,2,1,2.97,1,0,0,0,0,1,4.3000002,1,6.8000002,71.206978,31.250059,2.5,78.125145,50.781345,1,8.5748158,5296.5757
148,0,0,0,0,21,0,3,0,4,0,0,1,0,1,0,3.5999999,1,7.5,66.214363,33.753033,2,67.506065,43.878944,0,10.942422,56524.074
149,0,1,0,0,22,0,2,0,3.6400001,0,1,0,0,1,1,4.4000001,1,2.9000001,69.061317,72.379044,2,144.75809,94.092758,0,12.176996,194268.45
150,1,0,0,0,21,0,1,0,2.45,0,0,0,0,0,0,6.0999999,0,7,76.476456,24.266104,2,48.532207,31.545935,0,12.11209,182059.73
151,1,0,0,0,21,0,3,1,4,0,0,1,0,1,1,4.0999999,1,4.9000001,82.334091,34.394764,2,68.789528,44.713192,1,12.325238,225311.28
152,1,1,0,0,23,0,4,1,3.3900001,0,1,0,0,0,1,2.8,0,7.4000001,52.482983,56.534588,2,113.06918,73.494965,0,10.527836,37340.574
