id,female,white,black,hispanic,asian,other_race,age_ba,firstgen,parent_income_q,parent_grad,ugpa,stem_major,bus_major,ed_major,socsci_major,selective_inst,public_ug,state_unemp,metro,state,ga_funding,ga_funding_adj,eta_ability,eta_taste,eta_prod,ga_dev,z_masters,p_masters,u_d,masters,ln_salary_0,te_masters,ln_salary_1,ln_salary,salary
2840,1,0,0,0,0,1,23,0,3,1,2.9686105,0,0,0,1,0,1,5.9157929,1,1,15.760347,15.760347,-.96525586,-.80701423,-1.1184648,-2.2396526,-1.3393027,.090236083,.96338499,0,9.7330732,.11049679,9.8435698,9.7330732,16866.307
5761,0,0,0,1,0,0,24,0,4,0,2.8077388,0,0,0,1,1,1,7.2287345,1,1,15.828022,15.828022,-2.3093779,-2.0859711,-2.3929143,-2.171978,-2.1703045,.014991892,.39162433,0,8.7908382,-.10161129,8.6892271,8.7908382,6573.7402
7016,0,1,0,0,0,0,24,0,3,1,2.9406264,0,0,0,1,0,1,8.9804382,1,1,16.47522,16.47522,-1.9222394,-.70772135,-1.675998,-1.5247803,-1.4106104,.079179756,.76214606,0,9.504693,-.054841448,9.449852,9.504693,13422.572
6980,1,1,0,0,0,0,25,0,4,0,2.7504375,0,0,0,1,0,1,5.1463599,1,1,14.837229,14.837229,.23184633,.58044618,.093584657,-3.1627712,-1.5269561,.063385963,.74976003,0,10.554182,.32851377,10.882696,10.554182,38337.434
4634,1,1,0,0,0,0,22,0,2,0,2.9178014,0,0,0,1,1,1,4.873539,1,1,17.475939,17.475939,-.16729116,-.13467197,-.25284636,-.5240612,-.70905495,.23914519,.24007329,0,10.408032,.27043042,10.678463,10.408032,33124.629
5882,1,0,0,1,0,0,22,0,3,0,2.8352234,1,0,0,0,0,1,5.5473571,1,1,17.017578,22.12285,.011650075,.18110922,.18915522,4.1228504,1.5655212,.94126964,.92348802,1,10.971091,.2611832,11.232274,11.232274,75529.156
7554,1,1,0,0,0,0,24,0,3,0,2.6690283,0,0,0,1,0,0,8.1242619,1,1,14.735066,14.735066,-.0055877571,.76099372,.50212568,-3.2649336,-1.2429138,.10694979,.09748473,1,10.96023,.27203354,11.232264,11.232264,75528.367
1823,0,1,0,0,0,0,24,0,2,0,2.8245833,0,0,0,1,0,1,6.7360525,1,1,10.852003,10.852003,-2.5402987,-2.024997,-2.3276103,-7.1479969,3.1399527,.9991551,.80857062,1,8.7651978,-.26472819,8.5004692,8.5004692,4917.0752
2721,0,1,0,0,0,0,25,0,4,0,2.631057,0,0,0,1,0,1,5.4569206,1,1,13.270865,13.270865,-.076261781,-.20709182,-.6364665,-4.7291346,-2.806951,.0025006421,.14484438,0,10.20691,.26540691,10.472317,10.20691,27089.734
6259,1,0,0,1,0,0,23,1,3,0,2.9017746,0,1,0,0,0,0,7.0444632,1,1,12.614598,11.353138,.75376475,.33580562,.51624614,-6.646862,-5.7076502,5.7273266e-09,.58282286,0,10.988788,.47233224,11.46112,10.988788,59206.563
2540,1,0,0,0,1,0,24,0,3,0,2.6410799,0,0,0,1,1,1,4.743557,0,1,16.643093,16.643093,1.0239121,.98420155,1.0560523,-1.3569069,.042762194,.51705444,.67856449,0,11.51482,.45102787,11.965848,11.51482,100189.64
3846,1,1,0,0,0,0,23,0,3,0,2.6525397,1,0,0,0,0,1,7.2664714,1,1,15.975211,20.767775,-.5457021,-.84103203,-.91198838,2.7677746,-1.6500506,.04946629,.14315701,0,10.064397,.23211953,10.296516,10.064397,23491.568
676,0,0,1,0,0,0,24,0,5,0,3.0196958,0,1,0,0,1,0,6.6344347,1,1,14.489618,13.040656,.23809449,.76621521,.57831943,-4.9593439,-1.9635814,.024789326,.6641264,0,11.223008,.40900478,11.632013,11.223008,74832.547
1261,1,1,0,0,0,0,23,1,4,0,2.8272295,1,0,0,0,0,1,5.3757772,0,1,17.238764,22.410393,-.012974055,-.28139272,.31222975,4.4103928,.69003302,.75491327,.66703111,1,10.984693,.27650547,11.261198,11.261198,77745.664
5702,1,0,0,0,1,0,25,0,3,0,2.8520172,0,0,0,1,0,1,6.6025739,1,1,17.866201,17.866201,.75246376,.78781748,.53296822,-.1337986,.80855608,.79061472,.30538309,1,11.11931,.34808668,11.467397,11.467397,95549.219
4705,1,1,0,0,0,0,24,0,4,0,2.6152029,1,0,0,0,0,1,4.6687617,0,1,17.433081,22.663004,.68154424,.40676546,.66635811,4.6630039,4.0822973,.99997771,.96702158,1,11.456682,.3653782,11.822061,11.822061,136224.64
3454,1,1,0,0,0,0,23,0,3,0,2.7754591,0,0,0,1,1,0,6.3852887,1,1,14.294831,14.294831,.78553963,.8803665,.86877376,-3.7051687,-2.062551,.019577652,.35739407,0,11.3127,.46030328,11.773004,11.3127,81854.641
4563,1,1,0,0,0,0,23,0,5,0,2.7456396,0,0,0,1,0,0,8.3774433,1,1,15.014915,15.014915,.22736074,.39991331,.27427408,-2.9850855,-1.552357,.060288418,.28750631,0,10.725178,.32403883,11.049216,10.725178,45486.813
3518,0,0,0,0,0,1,24,1,5,0,2.6162236,0,0,0,1,0,1,5.9464402,1,1,11.924072,11.924072,1.1684182,1.1896081,.88646644,-6.0759277,-5.5726385,1.2545493e-08,.17947584,0,11.323079,.49342173,11.816501,11.323079,82708.617
5218,0,0,0,0,0,1,23,0,2,0,2.4889572,0,0,0,1,1,1,5.7837605,1,1,16.752647,16.752647,.77620173,.28434756,1.2109869,-1.2473526,-.9660368,.16701289,.38206697,0,11.774553,.42175213,12.196305,11.774553,129904.3
7549,1,1,0,0,0,0,24,0,4,0,2.5866089,0,0,0,1,0,1,9.2694654,1,1,13.40451,13.40451,1.1921875,-.26728103,1.0900592,-4.5954905,-5.3583097,4.2002068e-08,.37924534,0,11.433713,.49773386,11.931447,11.433713,92384.359
